id,hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
0,7,20.7,0.0,1.3,62.0,954.0,0.041,44.0,27.0,93.77
1,17,30.0,0.0,5.4,33.0,1590.0,0.061,49.0,36.0,233.47
2,13,19.0,1.0,2.1,95.0,193.0,0.02,36.0,28.0,87.64
4,6,22.5,0.0,2.5,60.0,1185.0,0.027,52.0,38.0,30.11
5,22,14.6,1.0,3.4,93.0,218.0,0.041,18.0,15.0,77.68
10,9,20.2,0.0,4.3,39.0,2000.0,0.034,22.0,7.0,130.1
11,18,19.0,0.0,2.7,80.0,2000.0,0.028,17.0,12.0,181.61
12,18,31.2,0.0,2.2,42.0,621.0,0.117,94.0,69.0,322.5
15,6,20.1,0.0,0.8,78.0,463.0,0.026,57.0,33.0,37.35
17,8,17.0,1.0,0.9,100.0,200.0,0.022,12.0,12.0,123.38
18,20,26.7,0.0,3.9,34.0,2000.0,0.05,36.0,14.0,312.01
23,17,27.1,0.0,2.4,18.0,2000.0,0.046,25.0,7.0,258.64
25,13,27.5,0.0,2.4,56.0,651.0,0.058,39.0,29.0,114.46
26,2,22.4,0.0,1.3,59.0,913.0,0.047,43.0,29.0,36.58
31,23,24.2,0.0,0.7,50.0,2000.0,0.011,35.0,25.0,203.52
39,14,28.4,0.0,3.1,43.0,937.0,0.103,60.0,40.0,155.81
40,3,18.8,0.0,1.2,80.0,669.0,0.035,41.0,24.0,25.67
41,21,23.4,1.0,2.2,83.0,1138.0,0.042,36.0,28.0,180.71
42,18,29.4,0.0,3.3,43.0,1685.0,0.055,0.0,0.0,367.82
43,14,24.3,0.0,2.5,18.0,2000.0,0.045,34.0,8.0,160.26
51,16,29.4,0.0,4.4,36.0,1947.0,0.069,38.0,22.0,238.51
52,7,17.8,0.0,0.5,85.0,790.0,0.024,32.0,19.0,78.11
54,5,21.9,0.0,1.1,72.0,1274.0,0.013,29.0,20.0,16.2
60,12,27.2,0.0,1.9,43.0,1961.0,0.016,36.0,22.0,145.86
61,13,30.6,0.0,1.8,40.0,1012.0,0.045,44.0,29.0,144.82
62,11,26.5,0.0,1.2,56.0,1699.0,0.026,24.0,17.0,117.28
63,3,15.8,0.0,2.4,86.0,1067.0,0.048,22.0,15.0,27.16
65,10,19.7,0.0,4.3,32.0,2000.0,0.035,24.0,11.0,123.79
66,9,23.7,0.0,1.3,46.0,1719.0,0.011,42.0,26.0,109.41
68,15,28.2,0.0,1.8,51.0,897.0,0.086,39.0,32.0,138.53
71,0,22.5,0.0,0.1,79.0,1037.0,0.003,38.0,27.0,76.6
80,3,22.1,0.0,2.7,60.0,829.0,0.049,47.0,28.0,28.25
82,1,22.8,0.0,2.4,52.0,2000.0,0.0,0.0,0.0,67.88
94,12,29.9,0.0,1.9,28.0,1761.0,0.039,47.0,28.0,132.47
98,19,23.4,0.0,5.2,34.0,2000.0,0.047,33.0,15.0,278.19
101,6,22.2,0.0,1.5,85.0,288.0,0.04,50.0,39.0,31.6
102,15,27.0,0.0,1.4,47.0,1912.0,0.028,44.0,30.0,130.57
107,18,18.8,1.0,1.6,73.0,1256.0,0.045,23.0,19.0,122.2
112,16,32.6,0.0,3.1,32.0,882.0,0.138,70.0,47.0,208.84
113,7,21.2,0.0,0.3,90.0,268.0,0.006,38.0,28.0,78.91
115,1,21.5,1.0,0.5,90.0,347.0,0.0,0.0,0.0,59.93
116,11,23.7,0.0,3.2,27.0,2000.0,0.046,21.0,12.0,128.15
120,8,16.6,0.0,1.0,44.0,2000.0,0.01,24.0,12.0,169.75
121,10,17.9,0.0,0.3,100.0,406.0,0.008,13.0,14.0,86.01
122,19,28.0,0.0,4.3,33.0,2000.0,0.066,40.0,28.0,333.55
132,22,20.8,0.0,1.6,62.0,1842.0,0.042,32.0,20.0,199.88
143,7,20.5,1.0,1.9,92.0,508.0,0.031,24.0,17.0,82.2
147,1,22.8,0.0,1.2,57.0,1190.0,0.0,0.0,0.0,64.66
150,4,18.3,0.0,3.1,74.0,391.0,0.051,49.0,37.0,18.41
151,0,21.7,0.0,2.3,64.0,1038.0,0.036,46.0,35.0,88.25
152,17,28.8,0.0,3.4,37.0,1966.0,0.07,45.0,26.0,246.04
153,0,24.8,0.0,1.7,54.0,2000.0,0.02,29.0,19.0,89.61
155,8,20.3,0.0,0.3,77.0,265.0,0.014,62.0,45.0,162.19
156,20,16.6,1.0,3.7,79.0,1729.0,0.039,21.0,14.0,87.61
159,14,28.5,0.0,2.0,26.0,1984.0,0.058,27.0,17.0,201.06
161,8,16.8,0.0,0.5,44.0,2000.0,0.026,31.0,15.0,153.22
163,2,19.6,0.0,1.8,39.0,2000.0,0.037,27.0,18.0,42.87
177,14,24.6,0.0,2.8,28.0,2000.0,0.051,37.0,15.0,173.06
186,5,20.9,0.0,2.4,84.0,1215.0,0.04,17.0,14.0,15.04
188,5,16.0,0.0,1.9,57.0,2000.0,0.031,33.0,18.0,17.81
190,7,18.6,0.0,1.0,64.0,2000.0,0.025,34.0,21.0,99.17
191,10,17.5,0.0,2.4,72.0,980.0,0.028,33.0,23.0,81.76
192,18,24.1,0.0,3.2,57.0,796.0,0.069,50.0,34.0,258.04
195,20,27.8,0.0,3.5,44.0,1414.0,0.069,57.0,42.0,318.83
200,23,21.5,0.0,1.6,65.0,1717.0,0.047,29.0,20.0,141.48
209,19,26.9,0.0,3.9,42.0,2000.0,0.057,40.0,26.0,319.39
210,5,21.2,0.0,0.5,90.0,324.0,0.0069999999999999,33.0,26.0,14.57
211,16,33.0,0.0,4.4,37.0,988.0,0.09,52.0,36.0,217.23
214,22,22.2,0.0,2.8,84.0,1497.0,0.009,24.0,19.0,136.51
215,3,23.1,0.0,1.9,64.0,1068.0,0.038,45.0,35.0,25.88
218,11,26.0,0.0,3.0,55.0,895.0,0.05,49.0,28.0,103.71
